Size,Bubble sort,Merge sort,Shell sort,Quick Sort,
500,124474,3826,4376,4393,
500,124009,3842,4617,4840,
500,124722,3854,5072,5314,
500,124540,3867,5196,4247,
600,178754,4808,6173,5867,
600,179204,4796,6283,5373,
600,179490,4776,5600,5197,
600,179400,4766,5914,5547,
600,178215,4800,5998,5124,
600,178374,4799,5792,6106,
600,179034,4758,6150,5568,
600,179105,4783,5872,5510,
600,179664,4782,6079,5633,
600,179349,4819,6372,5811,
600,179634,4793,6026,6232,
600,178475,4813,6243,5335,
600,178710,4791,6032,5551,
600,179645,4809,5876,6106,
600,179400,4804,6062,6040,
600,179510,4770,6096,5690,
600,179679,4798,6496,5707,
600,178425,4766,5809,5657,
600,179070,4805,6339,5303,
600,179265,4784,6165,5060,
600,178959,4775,5877,6336,
600,179322,4793,6487,6292,
600,179609,4759,6096,6142,
600,179375,4814,5914,5662,
600,179294,4808,5712,5734,
600,179622,4781,6178,5317,
600,179645,4774,6362,5879,
600,178374,4772,6629,5694,
600,179235,4806,6207,5521,
600,179235,4778,5912,5864,
600,179294,4780,6822,5532,
600,179564,4785,5789,5495,
600,179375,4798,6393,5257,
600,178160,4778,5774,5703,
600,179349,4804,5813,6298,
600,179034,4781,5949,5589,
600,178959,4807,6392,5446,
600,178572,4806,6268,5643,
600,178425,4791,6776,5341,
600,179375,4788,5718,5238,
600,179595,4797,6084,5573,
600,179375,4828,5882,5472,
600,179424,4780,6307,6312,
600,178047,4803,6017,5769,
600,179469,4814,5796,5260,
600,178754,4788,6107,6035,
600,178839,4800,6155,5285,
600,178710,4798,5883,5889,
600,179265,4826,6005,5985,
600,178839,4791,5738,6774,
600,179070,4797,5967,5758,
600,178839,4789,5934,5861,
600,178104,4807,5765,5218,
600,179235,4807,6698,5291,
600,178839,4782,6151,5605,
600,179595,4817,6217,5261,
600,179679,4806,5818,5087,
600,179070,4797,5617,4987,
600,179490,4806,5957,5858,
600,179469,4817,5748,5637,
600,179580,4803,6138,5370,
600,179447,4801,6024,5337,
600,179547,4789,6244,5650,
600,179265,4787,6264,6291,
600,179547,4782,6221,5944,
600,179375,4791,5817,5648,
600,177747,4807,6190,6287,
600,179655,4778,6321,5440,
600,179622,4778,6155,5111,
600,178997,4799,6063,6047,
600,178754,4805,6384,5542,
600,179595,4804,6378,5510,
600,179294,4777,6248,5790,
600,179645,4788,6347,5322,
600,179490,4803,6141,5647,
600,179595,4806,5802,6316,
600,179510,4793,5949,5479,
600,178215,4819,5764,6002,
600,178475,4806,6051,5951,
600,179622,4797,6480,4953,
600,179447,4797,6169,5517,
600,179672,4797,6096,5863,
600,179510,4782,6011,5110,
600,179322,4780,5852,5870,
600,179235,4793,6160,6492,
600,179645,4783,5999,5343,
600,178997,4789,6242,5832,
600,179349,4798,6541,5596,
600,179609,4793,5922,5935,
600,179645,4800,5976,6614,
600,179424,4781,6562,5813,
600,179564,4804,5889,5460,
600,179172,4791,5665,5466,
600,179609,4787,5957,5880,
600,178572,4802,6022,6089,
600,178997,4779,6203,5146,
600,179510,4819,5943,6688,
600,179265,4791,5832,5515,
600,179424,4823,5951,6253,
600,179564,4830,5556,6357,
700,244215,5759,7098,6302,
700,244272,5731,7826,6847,
700,243747,5727,7009,6528,
700,242939,5747,7797,6692,
700,243947,5750,7444,6585,
700,243909,5691,7160,6373,
700,243747,5741,7438,6092,
700,244614,5757,7580,6795,
700,243110,5772,7279,7541,
700,244622,5750,7589,6347,
700,243789,5725,6883,6828,
700,244595,5751,7077,6834,
700,244419,5751,6711,6355,
700,244460,5727,7308,6339,
700,244185,5770,7194,6600,
700,244089,5725,7343,6256,
700,244089,5726,6964,6340,
700,243830,5741,6988,7136,
700,244644,5730,7179,7185,
700,244154,5752,6803,6902,
700,243660,5750,7359,6752,
700,244154,5748,7335,6185,
700,243272,5761,7260,6593,
700,243219,5751,6991,6044,
700,243947,5763,7110,6448,
700,244374,5742,7027,6088,
700,244649,5734,7480,6854,
700,244614,5725,6889,6706,
700,244299,5728,7191,6577,
700,244215,5738,7196,6727,
700,244514,5752,6978,6442,
700,244154,5756,7080,6704,
700,242022,5757,7352,6879,
700,244154,5771,7344,7049,
700,244299,5729,7294,6306,
700,244325,5784,7036,6548,
700,244635,5750,7322,6551,
700,243947,5753,7153,8218,
700,244559,5755,7167,6505,
700,244089,5767,7269,6889,
700,244460,5735,7662,7038,
700,244089,5749,7302,6711,
700,244244,5748,7277,8242,
700,244629,5740,7016,6594,
700,243660,5748,7275,6730,
700,244572,5727,6725,7323,
700,243474,5781,6998,6742,
700,244545,5751,7498,6462,
700,244055,5748,7566,6641,
700,244374,5758,7219,6455,
700,243947,5756,7296,6551,
700,243272,5752,7193,7206,
700,244154,5775,6818,6444,
700,244440,5750,7352,6475,
700,243272,5749,7177,6581,
700,244215,5720,7428,6823,
700,244419,5734,7439,6394,
700,244595,5739,7134,6710,
